,description,file_name,test_images paths,J2 images
27,Boundary surface diagrams of the five 3d orbitals.,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.6.2_fig2.15.png,test_images/fig27.png,J2/fig27.png
28,"Energy level diagrams for the few electronic shells of (a) hydrogen atom and (b) multi-electronic atoms. Note that orbitals for the same value of principal quantum number, have the same energies even for different azimuthal quantum number for hydrogen atom. In case of multi-electron atoms, orbitals with same principal quantum number possess different energies for different azimuthal quantum numbers.",Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.6.3_fig2.16.png,test_images/fig28.png,J2/fig28.png
29,Order of filling of orbitals,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.6.4_fig2.17.png,test_images/fig29.png,J2/fig29.png
30,Possible exchange for a d5 configuration,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.6.6_fig2.18.png,test_images/fig30.png,J2/fig30.png
31,Mendeleev’s Periodic Table published earlier,Class 11_Chemistry_Part 1_English lang/images/Che_ch3_sec3.2_fig3.1.png,test_images/fig31.png,J2/fig31.png
32,"Long form of the Periodic Table of the Elements with their atomic numbers and ground state outer electronic configurations. The groups are numbered 1-18 in accordance with the 1984 IUPAC recommendations. This notation replaces the old numbering scheme of IA–VIIA, VIII, IB–VIIB and 0 for the elements.",Class 11_Chemistry_Part 1_English lang/images/Che_ch3_sec3.3_fig3.2.png,test_images/fig32.png,J2/fig32.png
33,The types of elements in the Periodic Table based on the orbitals that are being filled. Also shown is the broad division of elements into METALS,Class 11_Chemistry_Part 1_English lang/images/Che_ch3_sec3.6.1_fig3.3.png,test_images/fig33.png,J2/fig33.png
34,Variation of atomic radius with atomic number across the second period,Class 11_Chemistry_Part 1_English lang/images/Che_ch3_sec3.7.1_fig3.4(a).png,test_images/fig34.png,J2/fig34.png
35,Variation of atomic radius with atomic number for alkali metals and halogens,Class 11_Chemistry_Part 1_English lang/images/Che_ch3_sec3.7.1_fig3.4(b).png,test_images/fig35.png,J2/fig35.png
36,Variation of first ionization enthalpies (?i H) with atomic number for elements with Z = 1 to 60,Class 11_Chemistry_Part 1_English lang/images/Che_ch3_sec3.7.1_fig3.5.png,test_images/fig36.png,J2/fig36.png
37,First ionization enthalpies (?i H) of elements of the second period as a function of atomic number (Z) and Fig. 3.6(b) ?i H of alkali metals as a function of Z.,Class 11_Chemistry_Part 1_English lang/images/Che_ch3_sec3.7.1_fig3.6(a).png,test_images/fig37.png,J2/fig37.png
38,The periodic trends of elements in the periodic table,Class 11_Chemistry_Part 1_English lang/images/Che_ch3_sec3.7.1_fig3.7.png,test_images/fig38.png,J2/fig38.png
39,The bond length in a covalent molecule AB. R = rA + rB (R is the bond length and rA and rB are the covalent radii of atoms A and B respectively),Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.3.1_fig4.1.png,test_images/fig39.png,J2/fig39.png
40,Covalent and van der Waals radii in a chlorine molecule. The inner circles correspond to the size of the chlorine atom (rvdw and rc are van der Waals and covalent radii respectively).,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.3.1_fig4.2.png,test_images/fig40.png,J2/fig40.png
41,Resonance in the O3 molecule (structures I and II represent the two canonical forms while the structure III is the resonance hybrid),Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.3.5_fig4.3.png,test_images/fig41.png,J2/fig41.png
42,"Resonance in CO3 2–, I, II and III represent the three canonical forms.",Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.3.5_fig4.4.png,test_images/fig42.png,J2/fig42.png
43,"Resonance in CO2 molecule, I, II and III represent the three canonical forms.",Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.3.5_fig4.5.png,test_images/fig43.png,J2/fig43.png
44,The shapes of molecules in which central atom has no lone pair,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.4_fig4.6.png,test_images/fig44.png,J2/fig44.png
45,Forces of attraction and repulsion during the formation of H2 molecule,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.5_fig4.7.png,test_images/fig45.png,J2/fig45.png
46,The potential energy curve for the formation of H2 molecule as a function of internuclear distance of the H atoms. The minimum in the curve corresponds to the most stable state of H2.,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.5_fig4.8.png,test_images/fig46.png,J2/fig46.png
47,"Positive, negative and zero overlaps of s and p atomic orbitals",Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.5.3_fig4.9.png,test_images/fig47.png,J2/fig47.png
48,(a) Formation of sp hybrids from s and p orbitals; (b) Formation of the linear BeCl2 molecule,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.6.1_fig4.10.png,test_images/fig48.png,J2/fig48.png
49,Formation of sp2 hybrids and the BCl3 molecule,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.6.1_fig4.11.png,test_images/fig49.png,J2/fig49.png
50,"Formation of sp3 hybrids by the combination of s, px , py and pz atomic orbitals of carbon and the formation of CH4 molecule",Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.6.1_fig4.12.png,test_images/fig50.png,J2/fig50.png
51,Formation of NH3 molecule,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.6.1_fig4.13.png,test_images/fig51.png,J2/fig51.png
52,Formation of H2O molecule,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.6.1_fig4.14.png,test_images/fig52.png,J2/fig52.png
53,Formation of sigma and pi bonds in ethene,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.6.2_fig4.15.png,test_images/fig53.png,J2/fig53.png
54,Formation of sigma and pi bonds in ethyne,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.6.2_fig4.16.png,test_images/fig54.png,J2/fig54.png
55,Trigonal bipyramidal geometry of PCl5 molecule,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.6.3_fig4.17.png,test_images/fig55.png,J2/fig55.png
56,Octahedral geometry of SF6 molecule,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.6.3_fig4.18.png,test_images/fig56.png,J2/fig56.png
57,Formation of bonding (?) and antibonding (?*) molecular orbitals by the linear combination of atomic orbitals ?A and ?B centered on two atoms A and B respectively.,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.7.1_fig4.19.png,test_images/fig57.png,J2/fig57.png
58,Contours and energies of bonding and antibonding molecular orbitals formed through combinations of (a) 1s atomic orbitals; (b) 2pz atomic orbitals and (c) 2px atomic orbitals.,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.7.4_fig4.20.png,test_images/fig58.png,J2/fig58.png
59,MO occupancy and molecular properties for B2 through Ne2.,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.8_fig4.21.png,test_images/fig59.png,J2/fig59.png
60,Intramolecular hydrogen bonding in o-nitrophenol molecule,Class 11_Chemistry_Part 1_English lang/images/Che_ch4_sec4.9.2_fig4.22.png,test_images/fig60.png,J2/fig60.png
61,System and the surroundings,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.1.1_fig5.1.png,test_images/fig61.png,J2/fig61.png
62,"Open, closed and isolated systems.",Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.1.2_fig5.2.png,test_images/fig62.png,J2/fig62.png
63,An adiabatic system which does not permit the transfer of heat through its boundary.,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.1.4_fig5.3.png,test_images/fig63.png,J2/fig63.png
64,A system which allows heat transfer through its boundary.,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.1.4_fig5.4.png,test_images/fig64.png,J2/fig64.png
65,"Work done on an ideal gas in a cylinder when it is compressed by a constant external pressure, pex (in single step) is equal to the shaded area.",Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.2.1_fig5.5(a).png,test_images/fig65.png,J2/fig65.png
66,"pV-plot when pressure is not constant and changes in finite steps during compression from initial volume, Vi to final volume, Vf . Work done on the gas is represented by the shaded area.",Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.2.1_fig5.5(b).png,test_images/fig66.png,J2/fig66.png
67,"pV-plot when pressure is not constant and changes in infinite steps (reversible conditions) during compression from initial volume, Vi to final volume, Vf . Work done on the gas is represented by the shaded area.",Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.2.1_fig5.5(c).png,test_images/fig67.png,J2/fig67.png
68,A gas at volume V and temperature T,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.2.2_fig5.6(a).png,test_images/fig68.png,J2/fig68.png
69,"Partition, each part having half the volume of the gas",Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.2.2_fig5.6(b).png,test_images/fig69.png,J2/fig69.png
70,Bomb calorimeter,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.3_fig5.7.png,test_images/fig70.png,J2/fig70.png
71,Calorimeter for measuring heat changes at constant pressure (atmospheric pressure).,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.3_fig5.8.png,test_images/fig71.png,J2/fig71.png
72,Enthalpy diagram for lattice enthalpy of NaCl,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.5_fig5.9.png,test_images/fig72.png,J2/fig72.png
73,Enthalpy diagram for exothermic reactions,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.6_fig5.10(a).png,test_images/fig73.png,J2/fig73.png
74,Enthalpy diagram for endothermic reactions,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.6_fig5.10(b).png,test_images/fig74.png,J2/fig74.png
75,Diffusion of two gases,Class 11_Chemistry_Part 1_English lang/images/Che_ch5_sec5.6_fig5.11.png,test_images/fig75.png,J2/fig75.png
76,Measuring equilibrium vapour pressure of water at a constant temperature,Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.1.2_fig6.1.png,test_images/fig76.png,J2/fig76.png
77,Dissolution of sodium chloride in water. Na+ and Cl– ions are stablised by their hydration with polar water molecules.,Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.10_fig6.10.png,test_images/fig77.png,J2/fig77.png
78,pH-paper with four strips that may have different colours at the same pH,Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.11.2_fig6.11.png,test_images/fig78.png,J2/fig78.png
79,Attainment of chemical equilibrium.,Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.2_fig6.2.png,test_images/fig79.png,J2/fig79.png
80,Demonstrating dynamic nature of equilibrium. (a) initial stage (b) final stage after the equilibrium is attained.,Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.2_fig6.3.png,test_images/fig80.png,J2/fig80.png
81,Depiction of equilibrium for the reaction,Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.2_fig6.4.png,test_images/fig81.png,J2/fig81.png
82,Chemical equilibrium in the reaction H2(g) + I2(g) 2HI(g) can be attained from either direction,Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.2_fig6.5.png,test_images/fig82.png,J2/fig82.png
83,Dependence of extent of reaction on Kc,Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.6.1_fig6.6.png,test_images/fig83.png,J2/fig83.png
84,Predicting the direction of the reaction,Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.6.2_fig6.7.png,test_images/fig84.png,J2/fig84.png
85,"Effect of addition of H2 on change of concentration for the reactants and products in the reaction, H2(g) + I2 (g) 2HI(g)",Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.8.1_fig6.8.png,test_images/fig85.png,J2/fig85.png
86,"Effect of temperature on equilibrium for the reaction, 2NO2 (g) N2O4 (g)",Class 11_Chemistry_Part 1_English lang/images/Che_ch6_sec6.8.4_fig6.9.png,test_images/fig86.png,J2/fig86.png
