,file_name,description
60,images/Che_ch4_sec4.9.2_fig4.22.png,Intramolecular hydrogen bonding in o-nitrophenol molecule
61,images/Che_ch5_sec5.1.1_fig5.1.png,System and the surroundings
62,images/Che_ch5_sec5.1.2_fig5.2.png,"Open, closed and isolated systems."
63,images/Che_ch5_sec5.1.4_fig5.3.png,An adiabatic system which does not permit the transfer of heat through its boundary.
64,images/Che_ch5_sec5.1.4_fig5.4.png,A system which allows heat transfer through its boundary.
65,images/Che_ch5_sec5.2.1_fig5.5(a).png,"Work done on an ideal gas in a cylinder when it is compressed by a constant external pressure, pex (in single step) is equal to the shaded area."
66,images/Che_ch5_sec5.2.1_fig5.5(b).png,"pV-plot when pressure is not constant and changes in finite steps during compression from initial volume, Vi to final volume, Vf . Work done on the gas is represented by the shaded area."
67,images/Che_ch5_sec5.2.1_fig5.5(c).png,"pV-plot when pressure is not constant and changes in infinite steps (reversible conditions) during compression from initial volume, Vi to final volume, Vf . Work done on the gas is represented by the shaded area."
68,images/Che_ch5_sec5.2.2_fig5.6(a).png,A gas at volume V and temperature T
69,images/Che_ch5_sec5.2.2_fig5.6(b).png,"Partition, each part having half the volume of the gas"
70,images/Che_ch5_sec5.3_fig5.7.png,Bomb calorimeter
71,images/Che_ch5_sec5.3_fig5.8.png,Calorimeter for measuring heat changes at constant pressure (atmospheric pressure).
72,images/Che_ch5_sec5.5_fig5.9.png,Enthalpy diagram for lattice enthalpy of NaCl
73,images/Che_ch5_sec5.6_fig5.10(a).png,Enthalpy diagram for exothermic reactions
74,images/Che_ch5_sec5.6_fig5.10(b).png,Enthalpy diagram for endothermic reactions
75,images/Che_ch5_sec5.6_fig5.11.png,Diffusion of two gases
76,images/Che_ch6_sec6.1.2_fig6.1.png,Measuring equilibrium vapour pressure of water at a constant temperature
77,images/Che_ch6_sec6.10_fig6.10.png,Dissolution of sodium chloride in water. Na+ and Cl– ions are stablised by their hydration with polar water molecules.
78,images/Che_ch6_sec6.11.2_fig6.11.png,pH-paper with four strips that may have different colours at the same pH
79,images/Che_ch6_sec6.2_fig6.2.png,Attainment of chemical equilibrium.
80,images/Che_ch6_sec6.2_fig6.3.png,Demonstrating dynamic nature of equilibrium. (a) initial stage (b) final stage after the equilibrium is attained.
81,images/Che_ch6_sec6.2_fig6.4.png,Depiction of equilibrium for the reaction
82,images/Che_ch6_sec6.2_fig6.5.png,Chemical equilibrium in the reaction H2(g) + I2(g) 2HI(g) can be attained from either direction
83,images/Che_ch6_sec6.6.1_fig6.6.png,Dependence of extent of reaction on Kc
84,images/Che_ch6_sec6.6.2_fig6.7.png,Predicting the direction of the reaction
85,images/Che_ch6_sec6.8.1_fig6.8.png,"Effect of addition of H2 on change of concentration for the reactants and products in the reaction, H2(g) + I2 (g) 2HI(g)"
86,images/Che_ch6_sec6.8.4_fig6.9.png,"Effect of temperature on equilibrium for the reaction, 2NO2 (g) N2O4 (g)"
